2026-06-14 23:54:16,307 DEBUG   aiosqlite — operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,307 DEBUG   aiosqlite — executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7056323e7e20>)
2026-06-14 23:54:16,307 DEBUG   aiosqlite — operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7056323e7e20>) completed
2026-06-14 23:54:16,307 INFO    chesstracker.timing — <<< POST /api/auth/login [127.0.0.1:123] — 200 — 0.1762s
2026-06-14 23:54:16,307 INFO    httpx — HTTP Request: POST http://test/api/auth/login "HTTP/1.1 200 OK"
2026-06-14 23:54:16,478 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e6890>)
2026-06-14 23:54:16,478 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e6890>) completed
2026-06-14 23:54:16,478 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304dccc0>, 'INSERT INTO users (username, hashed_password, role) VALUES (?, ?, ?) RETURNING id, created_at', ('user', '$2b$12$HGshVOre1jgvsme5HL9my.mqcs2UGi/CuNuYKwXI41WsEcX03rNxW', 'user'))
2026-06-14 23:54:16,478 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304dccc0>, 'INSERT INTO users (username, hashed_password, role) VALUES (?, ?, ?) RETURNING id, created_at', ('user', '$2b$12$HGshVOre1jgvsme5HL9my.mqcs2UGi/CuNuYKwXI41WsEcX03rNxW', 'user')) completed
2026-06-14 23:54:16,479 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304dccc0>)
2026-06-14 23:54:16,479 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304dccc0>) completed
2026-06-14 23:54:16,479 DEBUG   aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304dccc0>)
2026-06-14 23:54:16,479 DEBUG   aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304dccc0>) completed
2026-06-14 23:54:16,479 DEBUG   aiosqlite — executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x7056323e6890>)
2026-06-14 23:54:16,497 DEBUG   aiosqlite — operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x7056323e6890>) completed
2026-06-14 23:54:16,497 DEBUG   aiosqlite — executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7056323e6890>)
2026-06-14 23:54:16,497 DEBUG   aiosqlite — operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x7056323e6890>) completed
2026-06-14 23:54:16,497 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e6890>)
2026-06-14 23:54:16,498 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e6890>) completed
2026-06-14 23:54:16,498 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304dd8c0>, 'SELECT users.id, users.username, users.hashed_password, users.role, users.created_at \nFROM users \nWHERE users.id = ?', (2,))
2026-06-14 23:54:16,498 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x7056304dd8c0>, 'SELECT users.id, users.username, users.hashed_password, users.role, users.created_at \nFROM users \nWHERE users.id = ?', (2,)) completed
2026-06-14 23:54:16,498 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304dd8c0>)
2026-06-14 23:54:16,498 DEBUG   aiosqlite — operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x7056304dd8c0>) completed
2026-06-14 23:54:16,498 DEBUG   aiosqlite — executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304dd8c0>)
2026-06-14 23:54:16,498 DEBUG   aiosqlite — operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x7056304dd8c0>) completed
2026-06-14 23:54:16,498 DEBUG   aiosqlite — executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e6890>)
2026-06-14 23:54:16,498 DEBUG   aiosqlite — operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x7056323e6890>) completed
2026-06-14 23:54:16,499 DEBUG   aiosqlite — executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705632483ac0>, 'SELECT favorites.id AS favorites_id, favorites.user_id AS favorites_user_id, favorites.player_id AS favorites_player_id, favorites.created_at AS favorites_created_at \nFROM favorites \nWHERE ? = favorites.user_id', (2,))
2026-06-14 23:54:16,499 DEBUG   aiosqlite — operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x705632483ac0>, 'SELECT favorites.id AS favorites_id, favorites.user_id AS favorites_user_id, favorites.player_id AS favorites_player_id, favorites.created_at AS favorites_created_at \nFROM favorites \nWHERE ? = favorites.user_id', (2,)) completed
2026-06-14 23:54:16,499 DEBUG   aiosqlite — executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x705632483ac0>)
